cross_val,kfold,n_trees,accuracy,class_bad_recall,class_good_recall,mean_recall,class_bad_precision,class_good_precision,mean_precision,class_bad_F1,class_good_F1,mean_F1
2,2,200,0.78,0.75,0.7857142857142857,0.7678571428571428,0.4,0.9428571428571428,0.6714285714285715,0.5217391304347827,0.8571428571428571,0.68944099378882
2,3,200,0.76,0.65,0.7875,0.71875,0.43333333333333335,0.9,0.6666666666666667,0.5199999999999999,0.84,0.6799999999999999
2,4,200,0.75,0.6923076923076923,0.7586206896551724,0.7254641909814323,0.3,0.9428571428571428,0.6214285714285714,0.41860465116279066,0.8407643312101911,0.629684491186491
2,5,200,0.7,0.5,0.7127659574468085,0.6063829787234043,0.1,0.9571428571428572,0.5285714285714286,0.16666666666666669,0.8170731707317074,0.49186991869918706
2,6,200,0.79,0.7647058823529411,0.7951807228915663,0.7799433026222538,0.43333333333333335,0.9428571428571428,0.6880952380952381,0.5531914893617021,0.8627450980392157,0.707968293700459
2,7,200,0.77,0.6842105263157895,0.7901234567901234,0.7371669915529564,0.43333333333333335,0.9142857142857143,0.6738095238095239,0.5306122448979592,0.847682119205298,0.6891471820516286
2,8,200,0.75,0.6666666666666666,0.7647058823529411,0.7156862745098038,0.3333333333333333,0.9285714285714286,0.6309523809523809,0.4444444444444444,0.8387096774193549,0.6415770609318996
2,9,200,0.71,0.5333333333333333,0.7411764705882353,0.6372549019607843,0.26666666666666666,0.9,0.5833333333333334,0.3555555555555555,0.8129032258064517,0.5842293906810037
2,10,200,0.77,0.7058823529411765,0.7831325301204819,0.7445074415308293,0.4,0.9285714285714286,0.6642857142857144,0.5106382978723405,0.8496732026143791,0.6801557502433597
3,1,200,0.77,0.7058823529411765,0.7831325301204819,0.7445074415308293,0.4,0.9285714285714286,0.6642857142857144,0.5106382978723405,0.8496732026143791,0.6801557502433597
3,2,200,0.73,0.5882352941176471,0.7590361445783133,0.6736357193479802,0.3333333333333333,0.9,0.6166666666666667,0.42553191489361697,0.8235294117647058,0.6245306633291614
3,3,200,0.74,0.625,0.7619047619047619,0.6934523809523809,0.3333333333333333,0.9142857142857143,0.6238095238095238,0.43478260869565216,0.8311688311688312,0.6329757199322417
3,4,200,0.7,0.5,0.717391304347826,0.6086956521739131,0.13333333333333333,0.9428571428571428,0.5380952380952381,0.2105263157894737,0.8148148148148148,0.5126705653021443
3,5,200,0.78,0.8333333333333334,0.7727272727272727,0.803030303030303,0.3333333333333333,0.9714285714285714,0.6523809523809524,0.47619047619047616,0.8607594936708862,0.6684749849306812
3,6,200,0.75,0.631578947368421,0.7777777777777778,0.7046783625730995,0.4,0.9,0.65,0.4897959183673469,0.8344370860927153,0.662116502230031
3,7,200,0.78,0.75,0.7857142857142857,0.7678571428571428,0.4,0.9428571428571428,0.6714285714285715,0.5217391304347827,0.8571428571428571,0.68944099378882
3,8,200,0.83,0.8421052631578947,0.8271604938271605,0.8346328784925277,0.5333333333333333,0.9571428571428572,0.7452380952380953,0.653061224489796,0.8874172185430464,0.7702392215164212
3,9,200,0.72,0.5714285714285714,0.7441860465116279,0.6578073089700996,0.26666666666666666,0.9142857142857143,0.5904761904761905,0.36363636363636365,0.8205128205128205,0.592074592074592
3,10,200,0.75,0.631578947368421,0.7777777777777778,0.7046783625730995,0.4,0.9,0.65,0.4897959183673469,0.8344370860927153,0.662116502230031
4,1,200,0.79,0.7142857142857143,0.810126582278481,0.7622061482820977,0.5,0.9142857142857143,0.7071428571428571,0.588235294117647,0.8590604026845637,0.7236478484011053
4,2,200,0.8,0.8571428571428571,0.7906976744186046,0.8239202657807309,0.4,0.9714285714285714,0.6857142857142857,0.5454545454545455,0.8717948717948717,0.7086247086247086
4,3,200,0.7,0.5,0.7272727272727273,0.6136363636363636,0.2,0.9142857142857143,0.5571428571428572,0.28571428571428575,0.810126582278481,0.5479204339963833
4,4,200,0.71,0.5333333333333333,0.7411764705882353,0.6372549019607843,0.26666666666666666,0.9,0.5833333333333334,0.3555555555555555,0.8129032258064517,0.5842293906810037
4,5,200,0.76,0.65,0.7875,0.71875,0.43333333333333335,0.9,0.6666666666666667,0.5199999999999999,0.84,0.6799999999999999
4,6,200,0.83,0.8823529411764706,0.8192771084337349,0.8508150248051027,0.5,0.9714285714285714,0.7357142857142858,0.6382978723404256,0.8888888888888888,0.7635933806146572
4,7,200,0.75,0.6923076923076923,0.7586206896551724,0.7254641909814323,0.3,0.9428571428571428,0.6214285714285714,0.41860465116279066,0.8407643312101911,0.629684491186491
4,8,200,0.73,0.6,0.7529411764705882,0.6764705882352942,0.3,0.9142857142857143,0.6071428571428571,0.4,0.8258064516129033,0.6129032258064517
4,9,200,0.81,0.8235294117647058,0.8072289156626506,0.8153791637136782,0.4666666666666667,0.9571428571428572,0.7119047619047619,0.5957446808510638,0.8758169934640524,0.735780837157558
4,10,200,0.74,0.6428571428571429,0.7558139534883721,0.6993355481727574,0.3,0.9285714285714286,0.6142857142857143,0.4090909090909091,0.8333333333333334,0.6212121212121212
5,1,200,0.76,0.75,0.7613636363636364,0.7556818181818181,0.3,0.9571428571428572,0.6285714285714286,0.4285714285714285,0.8481012658227849,0.6383363471971066
5,2,200,0.79,0.7368421052631579,0.8024691358024691,0.7696556205328136,0.4666666666666667,0.9285714285714286,0.6976190476190476,0.5714285714285714,0.8609271523178809,0.7161778618732262
5,3,200,0.77,0.7333333333333333,0.7764705882352941,0.7549019607843137,0.36666666666666664,0.9428571428571428,0.6547619047619048,0.4888888888888889,0.8516129032258064,0.6702508960573477
5,4,200,0.75,0.6666666666666666,0.7647058823529411,0.7156862745098038,0.3333333333333333,0.9285714285714286,0.6309523809523809,0.4444444444444444,0.8387096774193549,0.6415770609318996
